date,actual,year,month
1991-05-01,27.65091,1991,5
1991-06-01,29.072235,1991,6
1991-07-01,29.33139,1991,7
1991-08-01,28.760773,1991,8
1991-09-01,28.339325,1991,9
1991-10-01,25.141083,1991,10
1991-11-01,20.8732,1991,11
1991-12-01,18.96231,1991,12
1992-01-01,15.908112,1992,1
1992-02-01,16.643768,1992,2
1992-03-01,20.297394,1992,3
1992-04-01,25.027618,1992,4
1992-05-01,27.744965,1992,5
1992-06-01,28.910034,1992,6
1992-07-01,28.746552,1992,7
1992-08-01,29.202118,1992,8
1992-09-01,27.875488,1992,9
1992-10-01,23.91153,1992,10
1992-11-01,20.098236,1992,11
1992-12-01,19.43399,1992,12
1993-01-01,15.787994,1993,1
1993-02-01,19.0206,1993,2
1993-03-01,20.933197,1993,3
1993-04-01,24.48999,1993,4
1993-05-01,27.47934,1993,5
1993-06-01,30.179962,1993,6
1993-07-01,30.374237,1993,7
1993-08-01,28.775208,1993,8
1993-09-01,27.44577,1993,9
1993-10-01,24.223297,1993,10
1993-11-01,21.784882,1993,11
1993-12-01,16.921448,1993,12
1994-01-01,18.131134,1994,1
1994-02-01,19.092926,1994,2
1994-03-01,18.712006,1994,3
1994-04-01,26.46463,1994,4
1994-05-01,28.039093,1994,5
1994-06-01,28.71045,1994,6
1994-07-01,28.553223,1994,7
1994-08-01,28.511566,1994,8
1994-09-01,27.053497,1994,9
1994-10-01,24.069244,1994,10
1994-11-01,22.75705,1994,11
1994-12-01,19.13147,1994,12
1995-01-01,15.491486,1995,1
1995-02-01,16.619415,1995,2
1995-03-01,20.024902,1995,3
1995-04-01,24.864166,1995,4
1995-05-01,27.639252,1995,5
1995-06-01,29.798676,1995,6
1995-07-01,29.23404,1995,7
1995-08-01,28.207672,1995,8
1995-09-01,27.600739,1995,9
1995-10-01,26.36081,1995,10
1995-11-01,20.556091,1995,11
1995-12-01,17.418182,1995,12
1996-01-01,16.153595,1996,1
1996-02-01,15.992401,1996,2
1996-03-01,20.811676,1996,3
1996-04-01,21.496277,1996,4
1996-05-01,27.62613,1996,5
1996-06-01,29.296814,1996,6
1996-07-01,29.851044,1996,7
1996-08-01,28.443207,1996,8
1996-09-01,27.406708,1996,9
1996-10-01,25.637238,1996,10
1996-11-01,22.357574,1996,11
1996-12-01,17.576935,1996,12
1997-01-01,18.121796,1997,1
1997-02-01,16.73996,1997,2
1997-03-01,21.093048,1997,3
1997-04-01,24.655945,1997,4
1997-05-01,28.2117,1997,5
1997-06-01,29.765656,1997,6
1997-07-01,28.414154,1997,7
1997-08-01,28.839844,1997,8
1997-09-01,25.727966,1997,9
1997-10-01,25.969086,1997,10
1997-11-01,23.467804,1997,11
1997-12-01,19.122467,1997,12
1998-01-01,17.689575,1998,1
1998-02-01,19.325653,1998,2
1998-03-01,21.322784,1998,3
1998-04-01,26.619232,1998,4
1998-05-01,28.52066,1998,5
1998-06-01,30.119415,1998,6
1998-07-01,30.527557,1998,7
1998-08-01,29.426361,1998,8
1998-09-01,27.704193,1998,9
1998-10-01,25.402313,1998,10
1998-11-01,22.344086,1998,11
1998-12-01,19.315063,1998,12
1999-01-01,17.731995,1999,1
1999-02-01,19.719757,1999,2
1999-03-01,21.750824,1999,3
1999-04-01,25.747559,1999,4
1999-05-01,26.324982,1999,5
1999-06-01,29.430573,1999,6
1999-07-01,30.075043,1999,7
1999-08-01,28.194366,1999,8
1999-09-01,27.844421,1999,9
1999-10-01,25.24649,1999,10
1999-11-01,21.728119,1999,11
1999-12-01,15.867249,1999,12
2000-01-01,18.273956,2000,1
2000-02-01,16.321472,2000,2
2000-03-01,20.31723,2000,3
2000-04-01,25.392609,2000,4
2000-05-01,27.299103,2000,5
2000-06-01,28.76004,2000,6
2000-07-01,29.394379,2000,7
2000-08-01,29.07129,2000,8
2000-09-01,26.888458,2000,9
2000-10-01,25.192108,2000,10
2000-11-01,21.026886,2000,11
2000-12-01,19.783112,2000,12
2001-01-01,18.4393,2001,1
2001-02-01,17.471924,2001,2
2001-03-01,21.613953,2001,3
2001-04-01,24.849731,2001,4
2001-05-01,27.084259,2001,5
2001-06-01,28.967194,2001,6
2001-07-01,29.19345,2001,7
2001-08-01,28.622894,2001,8
2001-09-01,28.022614,2001,9
2001-10-01,26.00534,2001,10
2001-11-01,20.491669,2001,11
2001-12-01,17.427887,2001,12
2002-01-01,17.054108,2002,1
2002-02-01,19.515045,2002,2
2002-03-01,22.454315,2002,3
2002-04-01,26.100616,2002,4
2002-05-01,27.747833,2002,5
2002-06-01,29.577545,2002,6
2002-07-01,29.531555,2002,7
2002-08-01,28.303375,2002,8
2002-09-01,27.50885,2002,9
2002-10-01,25.039032,2002,10
2002-11-01,20.766113,2002,11
2002-12-01,18.457367,2002,12
2003-01-01,16.621155,2003,1
2003-02-01,21.052979,2003,2
2003-03-01,21.850037,2003,3
2003-04-01,26.44516,2003,4
2003-05-01,28.691986,2003,5
2003-06-01,29.782745,2003,6
2003-07-01,29.920288,2003,7
2003-08-01,28.818024,2003,8
2003-09-01,27.50705,2003,9
2003-10-01,26.08368,2003,10
2003-11-01,23.130707,2003,11
2003-12-01,17.907074,2003,12
2004-01-01,17.106049,2004,1
2004-02-01,18.228882,2004,2
2004-03-01,20.808899,2004,3
2004-04-01,24.683441,2004,4
2004-05-01,26.613129,2004,5
2004-06-01,29.182892,2004,6
2004-07-01,28.814362,2004,7
2004-08-01,28.890106,2004,8
2004-09-01,27.649323,2004,9
2004-10-01,24.986633,2004,10
2004-11-01,22.371735,2004,11
2004-12-01,18.22116,2004,12
2005-01-01,16.274017,2005,1
2005-02-01,18.173431,2005,2
2005-03-01,19.408539,2005,3
2005-04-01,24.287445,2005,4
2005-05-01,29.688538,2005,5
2005-06-01,30.187439,2005,6
2005-07-01,29.279358,2005,7
2005-08-01,28.409943,2005,8
2005-09-01,27.958344,2005,9
2005-10-01,25.495544,2005,10
2005-11-01,22.094757,2005,11
2005-12-01,16.628235,2005,12
2006-01-01,17.969421,2006,1
2006-02-01,18.385529,2006,2
2006-03-01,20.333344,2006,3
2006-04-01,25.716766,2006,4
2006-05-01,27.217194,2006,5
2006-06-01,29.644562,2006,6
2006-07-01,29.542328,2006,7
2006-08-01,28.026611,2006,8
2006-09-01,27.67096,2006,9
2006-10-01,26.632477,2006,10
2006-11-01,23.837402,2006,11
2006-12-01,17.752197,2006,12
2007-01-01,16.123749,2007,1
2007-02-01,22.094635,2007,2
2007-03-01,21.567108,2007,3
2007-04-01,23.470917,2007,4
2007-05-01,26.822205,2007,5
2007-06-01,29.961823,2007,6
2007-07-01,29.956268,2007,7
2007-08-01,28.946442,2007,8
2007-09-01,26.802094,2007,9
2007-10-01,25.217682,2007,10
2007-11-01,20.151978,2007,11
2007-12-01,20.012726,2007,12
2008-01-01,14.74173,2008,1
2008-02-01,13.603149,2008,2
2008-03-01,21.501404,2008,3
2008-04-01,25.252869,2008,4
2008-05-01,27.299591,2008,5
2008-06-01,28.582794,2008,6
2008-07-01,29.183502,2008,7
2008-08-01,28.752197,2008,8
2008-09-01,27.938873,2008,9
2008-10-01,26.230804,2008,10
2008-11-01,20.682587,2008,11
2008-12-01,17.551056,2008,12
2009-01-01,15.5677185,2009,1
2009-02-01,22.630463,2009,2
2009-03-01,21.199799,2009,3
2009-04-01,24.801361,2009,4
2009-05-01,27.108215,2009,5
2009-06-01,29.878967,2009,6
2009-07-01,29.40689,2009,7
2009-08-01,29.484283,2009,8
2009-09-01,28.299896,2009,9
2009-10-01,25.958405,2009,10
2009-11-01,20.669037,2009,11
2009-12-01,19.36966,2009,12
2010-01-01,18.113678,2010,1
2010-02-01,20.824615,2010,2
2010-03-01,22.085663,2010,3
2010-04-01,23.71457,2010,4
2010-05-01,28.971466,2010,5
2010-06-01,30.297028,2010,6
2010-07-01,30.376251,2010,7
2010-08-01,28.034332,2010,8
2010-09-01,28.253632,2010,9
2010-10-01,24.803009,2010,10
